[ 
{:location {:x 134.66666666666666 :y 64.66666666666667} :image "GRASS_IMAGE" :type 0}
{:location {:x 102 :y 48} :image "GRASS_IMAGE" :type 0} 
{:location {:x 166.66666666666666 :y 47.333333333333336} :image "GRASS_IMAGE" :type 0}
{:location {:x 132.66666666666666 :y 35.333333333333336} :image "BEACH_IMAGE" :type 0}
{:location {:x 133.33333333333334 :y 34} :image "TREE_BASE_IMAGE" :type 1}
{:location {:x 135.33333333333334 :y 102} :image "TREE_IMAGE" :type 2}
{:location {:x 200 :y 30} :image "GRASS_IMAGE" :type 0}
{:location {:x 167.33333333333334 :y 14} :image "GRASS_IMAGE" :type 0}
{:location {:x 68 :y 32.666666666666664} :image "GRASS_IMAGE" :type 0}
{:location {:x 318.6666666666667 :y 110} :image "GRASS_IMAGE" :type 0}
{:location {:x 100 :y 16} :image "GRASS_IMAGE" :type 0}
{:location {:x 134.66666666666666 :y -2} :image "GRASS_IMAGE" :type 0}
{:location {:x 162 :y -11.333333333333334} :image "TREE_BASE_IMAGE" :type 1}
{:location {:x 167.33333333333334 :y 59.333333333333336} :image "TREE_IMAGE" :type 2}
{:location {:x 57.333333333333336 :y 6} :image "TREE_BASE_IMAGE" :type 1}
{:location {:x 64 :y 73.33333333333333} :image "TREE_IMAGE" :type 2}
]

